nome,username,pin,idade,cidade,filme,time,cor
Marcos,marcos-87,6884,65,sao paulo,shrek,corinthians,azul
Marcos,marcos-88,2791,49,sao carlos,senhor dos aneis,sao paulo,azul
Julia,julia-89,6072,24,sao paulo,shrek,sao caetano,amarelo
Andre,andre-90,7936,64,rio de janeiro,kimi no na wa,sao paulo,roxo
Teodoro,teodoro-91,6751,68,sao paulo,kimi no na wa,corinthians,roxo
Pedro,pedro-92,7728,39,sao paulo,senhor dos aneis,sao caetano,amarelo
Camilla,camilla-93,7467,66,sao paulo,kimi no na wa,sao caetano,azul
Camilla,camilla-94,2586,17,sao paulo,senhor dos aneis,sao caetano,azul
Roberto,roberto-95,5156,49,rio de janeiro,kimi no na wa,sao paulo,azul
Murilo,murilo-96,5467,36,sao paulo,kimi no na wa,corinthians,roxo
Mateus,mateus-97,1312,36,rio de janeiro,senhor dos aneis,sao paulo,amarelo
Marcos,marcos-98,5711,22,sao carlos,senhor dos aneis,sao caetano,amarelo
Maria,maria-99,4073,13,rio de janeiro,senhor dos aneis,corinthians,amarelo
Michele,michele-100,3816,55,sao paulo,senhor dos aneis,sao caetano,roxo
